Attribute,Unique Count,Unique values,Filter
COMMUNITY,103,"['Natural Damp Grassland of the Victorian Coastal Plains', 'Central Hunter Valley eucalypt forest and woodland', 'Brigalow (Acacia harpophylla dominant and co-dominant)', 'Broad leaf tea-tree (Melaleuca viridiflora) woodlands in high rainfall coastal north Queensland', 'Alpine Sphagnum Bogs and Associated Fens', 'Eyre Peninsula Blue Gum (Eucalyptus petiolaris) Woodland', 'Natural Grasslands of the Murray Valley Plains', 'Cooks River/Castlereagh Ironbark Forest of the Sydney Basin Bioregion', 'Arnhem Plateau Sandstone Shrubland Complex', 'Lowland Rainforest of Subtropical Australia', 'Lowland Grassy Woodland in the South East Corner Bioregion', 'Castlereagh Scribbly Gum and Agnes Banks Woodlands of the Sydney Basin Bioregion', 'Buloke Woodlands of the Riverina and Murray-Darling Depression Bioregions', 'New England Peppermint (Eucalyptus nova-anglica) Grassy Woodlands', 'Kangaroo Island Narrow-leaved Mallee (Eucalyptus cneorifolia) Woodland', ""White Box-Yellow Box-Blakely's Red Gum Grassy Woodland and Derived Native Grassland"", 'Grey Box (Eucalyptus microcarpa) Grassy Woodlands and Derived Native Grasslands of South-eastern Australia', 'Giant Kelp Marine Forests of South East Australia', 'Western Sydney Dry Rainforest and Moist Woodland on Shale', 'Grassy Eucalypt Woodland of the Victorian Volcanic Plain', 'Temperate Highland Peat Swamps on Sandstone', 'Swamp Tea-tree (Melaleuca irbyana) Forest of South-east Queensland', 'Mabi Forest (Complex Notophyll Vine Forest 5b)', 'Iron-grass Natural Temperate Grassland of South Australia', 'Peppermint Box (Eucalyptus odorata) Grassy Woodland of South Australia', 'Southern Highlands Shale Forest and Woodland in the Sydney Basin Bioregion', 'Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion', 'Coolibah - Black Box Woodlands of the Darling Riverine Plains and the Brigalow Belt South Bioregions', 'River-flat eucalypt forest on coastal floodplains of southern New South Wales and eastern Victoria', 'Honeymyrtle shrubland on limestone ridges of the Swan Coastal Plain Bioregion', 'Natural Grasslands of the Queensland Central Highlands and northern Fitzroy Basin', 'Weeping Myall Woodlands', 'Warkworth Sands Woodland of the Hunter Valley', 'Natural grasslands on basalt and fine-textured alluvial plains of northern New South Wales and southern Queensland', 'Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion', 'Robertson Rainforest in the Sydney Basin Bioregion', 'Elderslie Banksia Scrub Forest in the Sydney Basin Bioregion', 'Natural Temperate Grassland of the Victorian Volcanic Plain', 'Hunter Valley Weeping Myall (Acacia pendula) Woodland', 'Shale Sandstone Transition Forest of the Sydney Basin Bioregion', 'Coastal Upland Swamps in the Sydney Basin Bioregion', 'Illawarra and south coast lowland forest and woodland ecological community', 'Natural Temperate Grassland of the South Eastern Highlands', 'Tasmanian white gum (Eucalyptus viminalis) wet forest', 'Tasmanian Forests and Woodlands dominated by black gum or Brookers gum (Eucalyptus ovata / E. brookeriana)', 'Poplar Box Grassy Woodland on Alluvial Plains', 'Coastal Swamp Oak (Casuarina glauca) Forest of New South Wales and South East Queensland ecological community', 'Proteaceae Dominated Kwongkan Shrublands of the Southeast Coastal Floristic Province of Western Australia', 'Plains mallee box woodlands of the Murray Darling Depression, Riverina and Naracoorte Coastal Plain Bioregions', 'Karst springs and associated alkaline fens of the Naracoorte Coastal Plain Bioregion', 'Scott River Ironstone Association', 'Eucalypt Woodlands of the Western Australian Wheatbelt', 'Mallee Bird Community of the Murray Darling Depression Bioregion', 'Eastern Suburbs Banksia Scrub of the Sydney Region', 'Monsoon vine thickets on the coastal sand dunes of Dampier Peninsula', 'Banksia Woodlands of the Swan Coastal Plain ecological community', 'Tuart (Eucalyptus gomphocephala) Woodlands and Forests of the Swan Coastal Plain ecological community', 'Assemblages of species associated with open-coast salt-wedge estuaries of western and central Victoria ecological community', 'Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions', 'Cumberland Plain Shale Woodlands and Shale-Gravel Transition Forest', 'Perched Wetlands of the Wheatbelt region with extensive stands of living sheoak and paperbark across the lake floor (Toolibin Lake)', 'Empodisma peatlands of southwestern Australia', 'Drooping sheoak grassy woodland on calcrete of the Eyre Yorke Block Bioregion', 'Araluen Scarp Grassy Forest', 'Brogo Vine Forest of the South East Corner Bioregion', 'Littoral Rainforest and Coastal Vine Thickets of Eastern Australia', 'Subtropical and Temperate Coastal Saltmarsh', 'Seasonal Herbaceous Wetlands (Freshwater) of the Temperate Lowland Plains', 'Lowland tropical rainforest of the Wet Tropics', 'Semi-evergreen vine thickets of the Brigalow Belt (North and South) and Nandewar Bioregions', 'Swamps of the Fleurieu Peninsula', 'The community of native species dependent on natural discharge of groundwater from the Great Artesian Basin', 'Upland Wetlands of the New England Tablelands (New England Tableland Bioregion) and the Monaro Plateau (South Eastern Highlands Bioregion)', 'Posidonia australis seagrass meadows of the Manning-Hawkesbury ecoregion', 'Aquatic Root Mat Community 3 in Caves of the Leeuwin Naturaliste Ridge', 'Subtropical eucalypt floodplain forest and woodland of the New South Wales North Coast and South East Queensland bioregions', 'Kurri sand swamp woodland of the Sydney Basin bioregion', 'Sedgelands in Holocene dune swales of the southern Swan Coastal Plain', 'Eastern Stirling Range Montane Heath and Thicket', 'Eucalyptus ovata - Callitris oblonga Forest', 'Turpentine-Ironbark Forest of the Sydney Basin Bioregion', 'Thrombolite (microbialite) Community of a Coastal Brackish Lake (Lake Clifton)', 'Shrublands and Woodlands on Perth to Gingin ironstone (Perth to Gingin ironstone association) of the Swan Coastal Plain', 'Corymbia calophylla - Kingia australis woodlands on heavy soils of the Swan Coastal Plain', 'Aquatic Root Mat Community in Caves of the Swan Coastal Plain', 'Gippsland Red Gum (Eucalyptus tereticornis subsp. mediana) Grassy Woodland and Associated Native Grassland', 'Corymbia calophylla - Xanthorrhoea preissii woodlands and shrublands of the Swan Coastal Plain', 'Blue Gum High Forest of the Sydney Basin Bioregion', 'Thrombolite (microbial) community of coastal freshwater lakes of the Swan Coastal Plain (Lake Richmond)', 'Shrublands on southern Swan Coastal Plain ironstones', 'Shrublands and Woodlands of the eastern Swan Coastal Plain', 'Clay Pans of the Swan Coastal Plain', 'Aquatic Root Mat Community 1 in Caves of the Leeuwin Naturaliste Ridge', 'Assemblages of plants and invertebrate animals of tumulus (organic mound) springs of the Swan Coastal Plain', 'Aquatic Root Mat Community 4 in Caves of the Leeuwin Naturaliste Ridge', 'Aquatic Root Mat Community 2 in Caves of the Leeuwin Naturaliste Ridge', 'Lowland Native Grasslands of Tasmania', 'Shrublands and Woodlands on Muchea Limestone of the Swan Coastal Plain', 'Grey box-grey gum wet forest of subtropical eastern Australia', 'Dunn’s white gum (Eucalyptus dunnii) moist forest in north-east New South Wales and south-east Queensland', 'Ben Halls Gap Sphagnum Moss Cool Temperate Rainforest', 'Coastal Swamp Sclerophyll Forest of New South Wales and South East Queensland', 'Mount Kaputar land snail and slug community']",All
EPBC,3,"['Critically Endangered', 'Endangered', 'Vulnerable']",All
PRES_RANK,2,"[1, 2]",All
CATEGORY,2,"['Community may occur within area', 'Community likely to occur within area']",All
REGIONS,2,"['States and Territories other than WA', 'WA']",All
